date,buy_time,sell_time,symbol,qty,entry,exit,pnl,reason,dry_run
2026-06-17,2026-06-17T10:50:00+09:00,2026-06-17T11:10:00+09:00,2315,500,62.0,62.811,405.5,trailing_stop,1
2026-06-17,2026-06-17T11:05:00+09:00,2026-06-17T11:10:00+09:00,2345,100,182.0,181.636,-36.40000000000043,stop_loss,1
2026-06-17,2026-06-17T12:30:00+09:00,2026-06-17T12:40:00+09:00,2120,100,198.0,198.403,40.29999999999916,trailing_stop,1
2026-06-17,2026-06-17T12:40:00+09:00,2026-06-17T13:25:00+09:00,2353,100,252.0,253.238,123.79999999999995,trailing_stop,1
2026-06-17,2026-06-17T13:20:00+09:00,2026-06-17T13:35:00+09:00,1783,100,53.0,53.838,83.8000000000001,trailing_stop,1
2026-06-18,2026-06-18T11:01:27.714471,2026-06-18T11:06:31.066948,2146,100,176.0,175.648,-35.20000000000039,stop_loss,1
2026-06-22,2026-06-22T13:00:43.448646,2026-06-22T13:10:50.770533,2146,100,173.0,173.478,47.800000000000864,trailing_stop,1
2026-06-22,2026-06-22T12:50:36.414713,2026-06-22T13:26:01.444988,2181,100,239.10000610351562,238.7815,-31.85061035156309,trailing_stop,1
2026-06-22,2026-06-22T13:20:57.506480,2026-06-22T13:31:05.220403,1783,600,52.0,51.896,-62.39999999999952,stop_loss,1
2026-06-22,2026-06-22T13:26:01.043000,2026-06-22T14:57:09.875935,2338,200,113.0,113.0,0.0,market_close,1
2026-06-23,2026-06-23T12:30:23.782206,2026-06-23T12:30:24.115412,2193,200,113.0,112.774,-45.19999999999982,stop_loss,1
2026-06-23,2026-06-23T11:16:42.036380,2026-06-23T12:30:24.525085,2120,100,190.0,189.62,-37.999999999999545,stop_loss,1
2026-06-23,2026-06-23T12:45:34.549674,2026-06-23T13:00:44.870563,2440,200,119.0,118.762,-47.59999999999991,stop_loss,1
2026-06-23,2026-06-23T12:50:37.977645,2026-06-23T13:05:48.401636,2353,100,247.0,247.256,25.600000000000023,trailing_stop,1
2026-06-23,2026-06-23T13:00:44.478589,2026-06-23T14:01:24.911412,2315,100,57.0,57.826,82.60000000000005,trailing_stop,1
2026-06-23,2026-06-23T14:16:35.017357,2026-06-23T14:31:45.067433,2134,100,26.0,26.919,91.90000000000005,trailing_stop,1
2026-06-24,2026-06-24T11:11:52.716251,2026-06-24T11:16:57.599654,2146,100,173.0,172.654,-34.600000000000364,stop_loss,1
2026-06-24,2026-06-24T12:30:07.306632,2026-06-24T12:45:19.642967,2345,200,116.0,115.768,-46.399999999999864,stop_loss,1
2026-06-24,2026-06-24T13:00:30.559594,2026-06-24T13:05:34.224356,2134,100,27.0,26.946,-5.399999999999849,stop_loss,1
2026-06-24,2026-06-24T12:55:26.336790,2026-06-24T13:05:34.637941,1435,200,163.0,162.674,-65.19999999999868,stop_loss,1
2026-06-24,2026-06-24T11:11:53.078456,2026-06-24T13:15:41.167420,2181,100,239.1999969482422,240.17729391479492,97.72969665527285,trailing_stop,1
